'sample interval','BP'
10279,104.054
10280,103.277
10281,102.629
10282,102.111
10283,101.592
10284,101.463
10285,101.333
10286,100.945
10287,101.074
10288,101.074
10289,101.204
10290,101.333
10291,101.463
10292,101.852
10293,102.111
10294,102.500
10295,103.018
10296,103.018
10297,103.277
10298,103.925
10299,103.925
10300,103.795
10301,104.443
10302,104.054
10303,104.184
10304,104.054
10305,103.666
10306,103.536
10307,103.536
10308,103.018
10309,102.888
10310,102.888
10311,102.370
10312,101.722
10313,101.463
10314,101.204
10315,100.685
10316,100.167
10317,100.037
10318,99.649
10319,99.001
10320,98.612
10321,98.482
10322,97.835
10323,97.705
10324,97.316
10325,96.798
10326,96.150
10327,95.632
10328,95.761
10329,95.243
10330,94.854
10331,94.725
10332,94.725
10333,93.947
10334,93.688
10335,93.429
10336,93.170
10337,92.910
10338,92.522
10339,92.392
10340,92.392
10341,91.615
10342,91.615
10343,91.355
10344,91.485
10345,91.226
10346,90.967
10347,90.837
10348,90.189
10349,90.189
10350,90.060
10351,89.671
10352,89.412
10353,89.153
10354,89.023
10355,88.893
10356,88.764
10357,88.764
10358,88.245
10359,87.986
10360,87.986
10361,87.727
10362,87.468
10363,87.338
10364,86.950
10365,87.338
10366,86.820
10367,86.431
10368,86.431
10369,86.172
10370,85.913
10371,86.043
10372,85.783
10373,85.783
10374,85.524
10375,85.395
10376,85.006
10377,85.135
10378,85.265
10379,85.135
10380,84.488
10381,84.488
10382,84.488
10383,84.358
10384,84.228
10385,84.228
10386,83.969
10387,84.099
10388,83.840
10389,83.451
10390,83.321
10391,83.321
10392,83.321
10393,83.321
10394,82.933
10395,82.933
10396,82.803
10397,82.544
10398,82.414
10399,82.285
10400,82.285
10401,81.896
10402,81.637
10403,81.248
10404,81.118
10405,80.859
10406,80.989
10407,80.989
10408,80.600
10409,80.211
10410,80.211
10411,80.211
10412,79.823
10413,79.563
10414,79.693
10415,79.563
10416,79.304
10417,79.175
10418,78.916
10419,79.175
10420,78.527
10421,78.656
10422,78.656
10423,78.527
10424,78.268
10425,78.138
10426,78.008
10427,77.620
10428,77.749
10429,77.620
10430,77.620
10431,77.101
10432,77.231
10433,77.101
10434,77.101
10435,76.842
10436,76.972
10437,76.713
10438,76.972
10439,76.842
10440,76.713
10441,77.101
10442,77.101
10443,77.879
10444,78.786
10445,79.693
10446,81.378
10447,83.321
10448,85.135
10449,87.986
10450,90.578
10451,92.651
10452,95.632
10453,98.612
10454,101.463
10455,104.314
10456,107.553
10457,110.274
10458,112.996
10459,115.846
10460,118.309
10461,120.382
10462,122.196
10463,124.140
10464,125.436
10465,126.731
10466,127.379
10467,127.898
10468,128.416
10469,128.286
10470,127.898
10471,127.379
10472,126.731
10473,125.824
10474,125.176
10475,124.140
10476,123.233
10477,122.196
10478,121.159
10479,120.123
10480,119.086
10481,118.568
10482,117.790
10483,116.754
10484,116.365
10485,115.976
10486,115.587
10487,115.199
10488,114.939
10489,115.199
10490,115.199
10491,114.939
10492,115.069
10493,114.939
10494,115.458
10495,115.976
10496,115.846
10497,115.846
10498,115.846
10499,116.106
10500,115.846
10501,115.976
10502,115.976
10503,115.587
10504,114.939
10505,114.162
10506,113.644
10507,112.866
10508,111.829
10509,110.534
10510,109.367
10511,108.331
10512,106.776
10513,105.869
10514,104.702
10515,103.536
10516,102.629
10517,101.463
10518,100.945
10519,100.167
10520,99.519
10521,99.390
10522,98.871
10523,98.482
10524,98.742
10525,98.742
10526,98.742
10527,98.871
10528,99.390
10529,99.778
10530,100.426
10531,100.685
10532,101.074
10533,101.204
10534,101.463
10535,101.981
10536,102.500
10537,102.240
10538,102.759
10539,102.888
10540,102.759
10541,102.500
10542,102.759
10543,102.500
10544,102.500
10545,102.370
10546,101.981
10547,101.981
10548,101.463
10549,101.204
10550,100.685
10551,100.426
10552,100.037
10553,99.649
10554,99.260
10555,98.871
10556,98.742
10557,98.223
10558,97.964
10559,97.316
10560,97.057
10561,96.668
10562,96.539
10563,96.020
10564,96.150
10565,95.761
10566,95.502
10567,95.243
10568,94.854
10569,94.984
10570,94.465
10571,94.206
10572,93.947
10573,93.429
10574,93.558
10575,93.170
10576,93.170
10577,93.040
10578,92.651
10579,92.392
10580,92.522
10581,92.133
10582,92.003
10583,91.615
10584,91.355
10585,91.226
10586,90.967
10587,90.708
10588,90.189
10589,90.578
10590,90.060
10591,89.541
10592,89.541
10593,89.282
10594,89.153
10595,88.893
10596,88.764
10597,88.505
10598,88.375
10599,88.116
10600,87.986
10601,87.727
10602,87.857
10603,87.598
10604,87.079
10605,86.950
10606,86.950
10607,87.079
10608,86.431
10609,86.431
10610,86.172
10611,86.302
10612,86.043
10613,85.783
10614,85.654
10615,85.654
10616,85.265
10617,85.395
10618,84.876
10619,84.488
10620,84.488
10621,84.358
10622,84.228
10623,84.228
10624,83.840
10625,83.581
10626,83.840
10627,83.321
10628,83.321
10629,83.062
10630,82.803
10631,82.933
10632,82.803
10633,82.414
10634,82.544
10635,82.414
10636,82.026
10637,82.155
10638,81.896
10639,81.766
10640,81.766
10641,81.248
10642,81.507
10643,81.378
10644,81.248
10645,80.859
10646,80.600
10647,80.600
10648,80.600
10649,80.211
10650,80.082
10651,80.082
10652,80.082
10653,80.211
10654,79.693
10655,79.563
10656,79.563
10657,79.434
10658,79.693
10659,79.693
10660,80.211
10661,80.730
10662,81.766
10663,82.803
10664,84.358
10665,86.043
10666,88.116
10667,90.448
10668,92.910
10669,95.372
10670,98.353
10671,100.815
10672,103.277
10673,106.257
10674,109.367
10675,111.959
10676,114.551
10677,116.883
10678,119.475
10679,121.159
10680,122.973
10681,124.658
10682,125.695
10683,126.343
10684,127.250
10685,127.768
10686,127.638
10687,127.379
10688,127.379
10689,126.731
10690,125.824
10691,125.047
10692,124.269
10693,123.233
10694,121.807
10695,121.159
10696,119.993
10697,119.216
10698,118.049
10699,117.401
10700,116.494
10701,115.717
10702,115.199
10703,114.680
10704,114.162
10705,114.032
10706,113.773
10707,113.773
10708,113.255
10709,113.514
10710,113.514
10711,113.773
10712,113.384
10713,113.514
10714,113.514
10715,113.514
10716,113.384
10717,113.384
10718,112.996
10719,112.866
10720,111.959
10721,111.829
10722,110.793
10723,110.274
10724,109.108
10725,108.201
10726,106.905
10727,105.869
10728,104.573
10729,103.536
10730,102.240
10731,101.722
10732,100.945
10733,99.908
10734,99.390
10735,98.742
10736,98.353
10737,98.094
10738,98.094
10739,97.835
10740,98.094
10741,98.353
10742,98.612
10743,98.871
10744,99.260
10745,99.519
10746,100.167
10747,100.426
10748,100.945
10749,101.333
10750,101.592
10751,101.981
10752,102.240
10753,102.500
10754,102.500
10755,102.500
10756,102.759
10757,102.759
10758,102.500
10759,102.240
10760,102.370
10761,101.981
10762,101.463
10763,101.463
10764,101.074
10765,100.815
10766,100.297
10767,99.778
10768,99.649
10769,98.871
10770,98.871
10771,98.223
10772,97.835
10773,97.446
10774,97.316
10775,96.927
10776,96.150
10777,96.280
10778,96.020
10779,95.372
10780,95.372
10781,94.854
10782,94.854
10783,94.595
10784,94.725
10785,94.336
10786,94.077
10787,93.818
10788,93.688
10789,93.299
10790,93.170
10791,93.040
10792,92.910
10793,92.651
10794,92.522
10795,92.133
10796,92.133
10797,91.874
10798,91.615
10799,91.744
10800,91.485
10801,91.485
10802,91.096
10803,90.967
10804,90.448
10805,90.578
10806,90.448
10807,89.930
10808,89.671
10809,89.412
10810,89.282
10811,89.023
10812,88.764
10813,88.764
10814,88.505
10815,87.986
10816,87.727
10817,87.727
10818,87.338
10819,87.338
10820,87.338
10821,86.820
10822,86.561
10823,86.561
10824,86.302
10825,85.913
10826,85.783
10827,85.913
10828,85.395
10829,85.135
10830,84.876
10831,85.006
10832,84.876
10833,84.747
10834,84.488
10835,84.488
10836,84.358
10837,84.099
10838,84.228
10839,83.840
10840,83.581
10841,83.710
10842,83.451
10843,83.321
10844,83.192
10845,82.933
10846,83.062
10847,82.933
10848,82.933
10849,82.673
10850,82.414
10851,82.285
10852,82.544
10853,82.544
10854,82.414
10855,82.673
10856,82.803
10857,83.710
10858,84.358
10859,85.265
10860,86.950
10861,88.505
10862,90.578
10863,93.170
10864,95.243
10865,97.835
10866,100.945
10867,103.536
10868,106.517
10869,109.367
10870,112.218
10871,115.199
10872,118.049
10873,120.382
10874,122.714
10875,125.047
10876,126.731
10877,128.675
10878,129.971
10879,130.748
10880,131.785
10881,132.303
10882,132.433
10883,132.563
10884,132.044
10885,131.785
10886,131.137
10887,130.230
10888,129.453
10889,128.416
10890,127.509
10891,126.602
10892,125.565
10893,124.788
10894,124.140
10895,123.362
10896,122.585
10897,121.937
10898,121.419
10899,121.159
10900,120.771
10901,120.511
10902,120.123
10903,120.123
10904,120.123
10905,119.993
10906,120.252
10907,120.123
10908,120.123
10909,120.382
10910,120.252
10911,120.252
10912,120.641
10913,120.641
10914,120.511
10915,120.382
10916,120.123
10917,119.604
10918,118.956
10919,118.438
10920,117.531
10921,116.494
10922,115.587
10923,114.162
10924,113.125
10925,111.441
10926,110.274
10927,108.849
10928,107.683
10929,106.646
10930,105.609
10931,105.091
10932,104.054
10933,103.536
10934,103.018
10935,102.888
10936,102.500
10937,102.500
10938,102.370
10939,102.888
10940,102.759
10941,103.277
10942,103.536
10943,103.925
10944,104.832
10945,104.832
10946,105.221
10947,105.480
10948,106.128
10949,106.257
10950,106.387
10951,106.776
10952,107.035
10953,107.164
10954,107.035
10955,107.164
10956,107.035
10957,106.646
10958,106.387
10959,106.128
10960,106.128
10961,105.350
10962,105.221
10963,104.962
10964,104.573
10965,103.666
10966,103.536
10967,103.147
10968,102.500
10969,102.370
10970,101.981
10971,101.333
10972,101.204
10973,100.556
10974,100.426
10975,99.908
10976,99.908
10977,99.390
10978,99.390
10979,98.742
10980,98.612
10981,98.223
10982,98.223
10983,97.705
10984,97.705
10985,97.187
10986,96.798
10987,96.798
10988,96.539
10989,95.761
10990,95.761
10991,95.761
10992,95.243
10993,95.113
10994,94.725
10995,94.854
10996,94.336
10997,94.206
10998,94.206
10999,93.688
11000,93.558
11001,93.170
11002,93.299
11003,92.910
11004,92.651
11005,92.392
11006,92.392
11007,92.392
11008,92.003
11009,91.744
11010,91.615
11011,91.096
11012,91.096
11013,90.967
11014,90.708
11015,90.837
11016,90.578
11017,90.319
11018,90.060
11019,90.060
11020,89.671
11021,89.412
11022,89.282
11023,89.153
11024,89.153
11025,89.023
11026,88.505
11027,88.505
11028,88.116
11029,88.245
11030,87.986
11031,87.986
11032,87.468
11033,87.468
11034,87.079
11035,87.338
11036,86.690
11037,86.950
11038,86.302
11039,86.690
11040,86.690
11041,86.561
11042,86.431
11043,86.690
11044,86.950
11045,87.209
11046,87.468
11047,88.505
11048,89.671
11049,91.226
11050,92.910
11051,94.725
11052,97.575
11053,100.167
11054,103.147
11055,105.739
11056,109.108
11057,111.959
11058,115.458
11059,118.568
11060,121.807
11061,124.658
11062,127.379
11063,130.230
11064,132.563
11065,134.636
11066,136.839
11067,138.264
11068,139.560
11069,140.467
11070,141.115
11071,141.245
11072,141.374
11073,140.985
11074,140.726
11075,140.338
11076,139.430
11077,138.783
11078,138.135
11079,137.228
11080,136.709
11081,135.673
11082,135.154
11083,134.636
11084,134.118
11085,133.729
11086,133.210
11087,132.951
11088,132.951
11089,132.692
11090,132.822
11091,133.081
11092,133.081
11093,133.081
11094,133.599
11095,134.118
11096,133.988
11097,134.118
11098,134.765
11099,134.636
11100,134.636
11101,135.025
11102,134.895
11103,135.284
11104,134.765
11105,134.895
11106,134.765
11107,134.636
11108,134.377
11109,133.858
11110,133.470
11111,132.303
11112,131.656
11113,130.748
11114,129.712
11115,128.286
11116,126.731
11117,125.047
11118,123.751
11119,122.326
11120,120.641
11121,118.697
11122,117.401
11123,116.106
11124,114.939
11125,113.773
11126,112.866
11127,111.829
11128,111.311
11129,110.793
11130,110.274
11131,110.274
11132,110.274
11133,110.274
11134,110.274
11135,110.663
11136,110.793
11137,111.311
11138,111.570
11139,112.089
11140,112.218
11141,112.996
11142,113.384
11143,113.773
11144,114.032
11145,114.291
11146,114.291
11147,114.551
11148,114.032
11149,114.680
11150,114.421
11151,114.421
11152,114.291
11153,114.291
11154,113.903
11155,113.514
11156,112.996
11157,112.737
11158,112.348
11159,111.829
11160,111.311
11161,110.922
11162,110.793
11163,110.015
11164,109.627
11165,109.108
11166,108.719
11167,108.201
11168,107.812
11169,107.424
11170,106.905
11171,106.387
11172,106.128
11173,105.869
11174,105.350
11175,105.091
11176,104.573
11177,104.573
11178,104.054
11179,103.666
11180,103.536
11181,103.147
11182,102.888
11183,102.500
11184,102.500
11185,101.981
11186,101.722
11187,101.592
11188,101.204
11189,100.945
11190,100.945
11191,100.556
11192,100.167
11193,100.297
11194,99.908
11195,99.649
11196,99.519
11197,99.001
11198,99.390
11199,98.871
11200,98.871
11201,98.353
11202,98.094
11203,98.223
11204,97.964
11205,97.575
11206,97.575
11207,97.057
11208,96.798
11209,96.798
11210,96.668
11211,96.280
11212,96.280
11213,96.280
11214,95.632
11215,95.761
11216,95.372
11217,95.372
11218,95.243
11219,94.984
11220,94.725
11221,94.725
11222,94.336
11223,94.465
11224,94.077
11225,93.947
11226,93.558
11227,93.688
11228,93.170
11229,93.170
11230,93.170
11231,92.910
11232,92.522
11233,92.522
11234,92.263
11235,92.263
11236,92.263
11237,92.392
11238,92.133
11239,92.133
11240,92.133
11241,92.522
11242,92.392
11243,92.910
11244,93.429
11245,94.465
11246,95.632
11247,97.057
11248,98.871
11249,101.204
11250,103.277
11251,106.128
11252,108.719
11253,111.959
11254,115.069
11255,118.049
11256,121.548
11257,124.269
11258,127.379
11259,130.489
11260,133.599
11261,136.320
11262,139.171
11263,141.115
11264,142.929
11265,144.614
11266,145.780
11267,146.557
11268,147.205
11269,147.724
11270,147.724
11271,147.465
11272,147.076
11273,146.428
11274,145.650
11275,145.002
11276,144.484
11277,143.577
11278,142.929
11279,142.281
11280,141.374
11281,140.856
11282,140.467
11283,139.949
11284,139.819
11285,139.819
11286,139.301
11287,139.560
11288,139.560
11289,139.690
11290,139.819
11291,140.078
11292,139.949
11293,140.338
11294,140.597
11295,140.597
11296,140.856
11297,140.856
11298,141.374
11299,141.374
11300,141.245
11301,141.374
11302,140.856
11303,140.726
11304,140.597
11305,140.467
11306,139.819
11307,138.783
11308,138.523
11309,137.357
11310,136.320
11311,135.413
11312,133.858
11313,132.174
11314,130.619
11315,129.323
11316,127.379
11317,125.306
11318,124.010
11319,122.066
11320,120.641
11321,119.086
11322,117.790
11323,117.013
11324,115.717
11325,114.939
11326,113.903
11327,113.644
11328,113.255
11329,112.996
11330,112.996
11331,113.255
11332,113.255
11333,113.644
11334,113.773
11335,114.032
11336,114.810
11337,115.199
11338,115.717
11339,116.106
11340,116.494
11341,117.013
11342,117.272
11343,117.531
11344,117.920
11345,117.790
11346,118.049
11347,118.049
11348,117.920
11349,117.661
11350,117.531
11351,117.142
11352,117.013
11353,116.494
11354,116.365
11355,115.717
11356,115.069
11357,114.810
11358,114.162
11359,113.773
11360,112.996
11361,112.866
11362,112.089
11363,111.441
11364,111.311
11365,110.793
11366,110.274
11367,109.756
11368,109.238
11369,108.979
11370,108.331
11371,107.942
11372,107.553
11373,107.424
11374,107.035
11375,106.776
11376,106.128
11377,106.128
11378,105.480
11379,105.480
11380,104.962
11381,104.573
11382,104.314
11383,104.184
11384,103.925
11385,103.536
11386,103.018
11387,102.759
11388,102.888
11389,102.500
11390,102.240
11391,101.592
11392,101.463
11393,101.463
11394,100.945
11395,100.815
11396,100.426
11397,100.297
11398,100.167
11399,99.649
11400,99.390
11401,99.519
11402,99.130
11403,99.260
11404,98.871
11405,98.742
11406,98.742
11407,98.223
11408,98.223
11409,97.964
11410,98.094
11411,97.964
11412,97.835
11413,97.446
11414,97.446
11415,97.316
11416,97.316
11417,97.057
11418,97.057
11419,96.927
11420,96.668
11421,96.539
11422,96.280
11423,96.020
11424,95.761
11425,95.761
11426,95.243
11427,95.243
11428,94.984
11429,94.854
11430,94.595
11431,94.206
11432,94.206
11433,93.947
11434,93.558
11435,93.558
11436,93.170
11437,92.910
11438,92.651
11439,92.392
11440,92.392
11441,92.133
11442,91.874
11443,91.874
11444,91.485
11445,91.226
11446,91.226
11447,91.226
11448,90.837
11449,90.578
11450,90.578
11451,90.448
11452,90.578
11453,90.319
11454,90.319
11455,90.189
11456,90.189
11457,90.319
11458,90.319
11459,89.930
11460,90.060
11461,90.060
11462,90.189
11463,90.189
11464,90.578
11465,91.096
11466,92.003
11467,93.429
11468,95.243
11469,97.316
11470,99.390
11471,101.722
11472,104.832
11473,107.553
11474,110.404
11475,113.903
11476,116.883
11477,120.641
11478,123.621
11479,126.991
11480,129.841
11481,132.951
11482,136.191
11483,138.783
11484,140.856
11485,142.929
11486,144.614
11487,145.910
11488,146.946
11489,147.594
11490,148.112
11491,147.983
11492,147.335
11493,147.076
11494,146.169
11495,145.521
11496,144.614
11497,143.447
11498,142.800
11499,141.245
11500,140.467
11501,139.690
11502,138.783
11503,138.005
11504,137.357
11505,136.968
11506,136.450
11507,136.191
11508,136.320
11509,135.932
11510,135.932
11511,136.061
11512,136.191
11513,136.061
11514,136.320
11515,136.320
11516,136.968
11517,136.709
11518,137.228
11519,137.098
11520,137.228
11521,137.616
11522,137.228
11523,136.839
11524,136.709
11525,136.450
11526,135.802
11527,135.154
11528,134.377
11529,133.340
11530,132.044
11531,131.008
11532,129.323
11533,127.768
11534,125.824
11535,124.399
11536,122.714
11537,120.900
11538,119.475
11539,117.531
11540,116.754
11541,115.587
11542,114.421
11543,113.514
11544,112.996
11545,112.737
11546,112.089
11547,111.959
11548,112.218
11549,112.348
11550,112.348
11551,112.866
11552,112.996
11553,113.644
11554,114.291
11555,114.810
11556,115.199
11557,115.587
11558,116.106
11559,116.883
11560,117.013
11561,117.272
11562,117.661
11563,118.049
11564,118.049
11565,118.049
11566,118.179
11567,117.661
11568,117.531
11569,117.401
11570,117.142
11571,116.754
11572,116.494
11573,115.976
11574,115.328
11575,114.939
11576,114.162
11577,114.421
11578,113.514
11579,112.996
11580,112.866
11581,112.348
11582,111.829
11583,111.441
11584,110.793
11585,110.663
11586,110.145
11587,109.756
11588,109.238
11589,108.979
11590,108.719
11591,108.201
11592,107.942
11593,107.553
11594,107.424
11595,106.646
11596,106.517
11597,106.128
11598,105.998
11599,105.221
11600,104.962
11601,104.832
11602,104.443
11603,104.443
11604,103.925
11605,103.407
11606,103.407
11607,103.277
11608,102.888
11609,102.370
11610,102.240
11611,101.981
11612,101.852
11613,101.592
11614,101.333
11615,100.945
11616,100.945
11617,100.685
11618,100.426
11619,100.426
11620,100.167
11621,99.908
11622,99.908
11623,99.649
11624,99.260
11625,99.130
11626,99.130
11627,98.871
11628,98.871
11629,98.612
11630,98.353
11631,98.353
11632,98.223
11633,97.964
11634,97.835
11635,97.705
11636,97.446
11637,97.316
11638,97.057
11639,96.927
11640,96.539
11641,96.409
11642,96.280
11643,96.150
11644,95.891
11645,95.761
11646,95.761
11647,95.372
11648,95.243
11649,94.854
11650,95.113
11651,94.595
11652,94.336
11653,94.206
11654,94.077
11655,93.688
11656,93.688
11657,93.818
11658,93.429
11659,93.170
11660,92.910
11661,92.781
11662,92.651
11663,92.522
11664,92.263
11665,92.263
11666,92.133
11667,92.003
11668,91.874
11669,91.615
11670,91.615
11671,91.355
11672,91.226
11673,91.226
11674,91.096
11675,91.226
11676,91.355
11677,91.355
11678,92.133
11679,92.910
11680,93.947
11681,95.372
11682,96.927
11683,99.130
11684,100.945
11685,103.666
11686,106.646
11687,109.497
11688,112.866
11689,115.587
11690,119.345
11691,122.326
11692,125.565
11693,129.064
11694,132.044
11695,135.025
11696,138.005
11697,140.467
11698,142.540
11699,144.484
11700,145.910
11701,146.946
11702,147.853
11703,148.242
11704,148.242
11705,147.853
11706,147.594
11707,146.817
11708,146.039
11709,144.743
11710,143.707
11711,142.540
11712,141.115
11713,140.078
11714,138.912
11715,137.875
11716,137.098
11717,136.061
11718,135.284
11719,134.895
11720,134.118
11721,133.858
11722,133.729
11723,133.210
11724,133.210
11725,133.210
11726,133.081
11727,132.951
11728,133.340
11729,133.599
11730,133.599
11731,133.470
11732,133.858
11733,133.729
11734,133.470
11735,132.951
11736,133.340
11737,132.951
11738,132.303
11739,131.656
11740,130.748
11741,129.841
11742,128.286
11743,126.861
11744,125.695
11745,123.751
11746,122.326
11747,120.771
11748,118.827
11749,117.531
11750,115.976
11751,115.199
11752,113.644
11753,112.737
11754,111.829
11755,111.311
11756,111.182
11757,110.793
11758,110.793
11759,110.922
11760,111.182
11761,111.441
11762,112.089
11763,112.737
11764,113.125
11765,113.644
11766,114.291
11767,114.939
11768,115.587
11769,116.235
11770,117.013
11771,117.142
11772,117.661
11773,117.920
11774,118.179
11775,118.568
11776,118.179
11777,118.179
11778,118.179
11779,118.049
11780,117.401
11781,117.272
11782,117.013
11783,116.365
11784,115.587
11785,115.328
11786,114.939
11787,114.421
11788,113.773
11789,113.255
11790,112.866
11791,112.348
11792,111.829
11793,111.441
11794,111.052
11795,110.404
11796,109.886
11797,109.497
11798,109.238
11799,108.719
11800,108.849
11801,108.072
11802,107.683
11803,107.553
11804,107.164
11805,106.646
11806,106.646
11807,106.128
11808,105.869
11809,105.739
11810,105.221
11811,104.962
11812,104.832
11813,104.443
11814,104.443
11815,104.054
11816,103.795
11817,103.536
11818,103.277
11819,102.888
11820,102.759
11821,102.500
11822,102.370
11823,102.111
11824,101.592
11825,101.592
11826,101.463
11827,101.204
11828,101.204
11829,100.945
11830,100.556
11831,100.426
11832,100.815
11833,100.037
11834,99.908
11835,99.519
11836,99.519
11837,99.130
11838,99.001
11839,98.871
11840,98.612
11841,98.353
11842,98.353
11843,97.835
11844,97.835
11845,97.316
11846,97.705
11847,97.446
11848,97.316
11849,97.057
11850,96.798
11851,96.668
11852,96.668
11853,96.280
11854,96.280
11855,95.761
11856,95.761
11857,95.761
11858,95.372
11859,95.372
11860,95.113
11861,94.984
11862,94.984
11863,94.725
11864,94.725
11865,94.465
11866,94.595
11867,94.595
11868,94.465
11869,94.465
11870,94.206
11871,94.206
11872,94.206
11873,94.595
11874,94.725
11875,95.113
11876,95.761
11877,96.798
11878,97.835
11879,99.390
11880,101.333
11881,103.536
11882,105.869
11883,108.460
11884,111.311
11885,114.421
11886,117.661
11887,120.771
11888,124.528
11889,127.509
11890,131.008
11891,134.247
11892,137.228
11893,140.208
11894,142.800
11895,145.521
11896,147.594
11897,149.667
11898,150.834
11899,152.259
11900,152.518
11901,152.777
11902,152.907
11903,152.777
11904,152.259
11905,151.222
11906,150.315
11907,149.279
11908,148.501
11909,147.335
11910,146.557
11911,145.521
11912,144.484
11913,143.707
11914,142.800
11915,141.892
11916,141.504
11917,141.374
11918,140.856
11919,140.597
11920,140.338
11921,140.597
11922,140.467
11923,140.467
11924,140.467
11925,141.115
11926,140.985
11927,141.245
11928,141.504
11929,141.374
11930,141.374
11931,141.504
11932,141.763
11933,141.763
11934,141.504
11935,141.115
11936,140.726
11937,140.338
11938,139.430
11939,138.912
11940,138.005
11941,136.839
11942,135.284
11943,133.858
11944,132.174
11945,130.360
11946,128.416
11947,126.343
11948,124.788
11949,123.103
11950,121.289
11951,119.864
11952,118.179
11953,117.401
11954,115.976
11955,115.199
11956,114.680
11957,114.421
11958,114.291
11959,113.903
11960,114.421
11961,114.680
11962,114.939
11963,115.458
11964,116.106
11965,116.883
11966,117.401
11967,118.049
11968,118.827
11969,119.216
11970,119.734
11971,120.382
11972,120.641
11973,121.159
11974,121.289
11975,121.678
11976,121.548
11977,121.678
11978,121.289
11979,121.159
11980,120.771
11981,120.641
11982,120.123
11983,119.604
11984,118.956
11985,118.438
11986,117.920
11987,117.142
11988,117.013
11989,116.106
11990,115.846
11991,114.939
11992,114.421
11993,114.032
11994,113.514
