'Elapsed time','SO2'
'0:01.256',92.889
'0:01.260',92.889
'0:01.264',92.889
'0:01.268',92.705
'0:01.272',92.950
'0:01.276',92.950
'0:01.280',92.644
'0:01.284',92.889
'0:01.288',92.950
'0:01.292',92.889
'0:01.296',92.644
'0:01.300',92.889
'0:01.304',92.889
'0:01.308',92.828
'0:01.312',92.828
'0:01.316',92.889
'0:01.320',92.828
'0:01.324',92.889
'0:01.328',92.950
'0:01.332',92.889
'0:01.336',92.828
'0:01.340',92.889
'0:01.344',93.133
'0:01.348',92.889
'0:01.352',92.766
'0:01.356',92.950
'0:01.360',92.889
'0:01.364',92.766
'0:01.368',92.828
'0:01.372',92.889
'0:01.376',92.828
'0:01.380',92.705
'0:01.384',92.950
'0:01.388',92.950
'0:01.392',92.705
'0:01.396',92.889
'0:01.400',92.950
'0:01.404',92.889
'0:01.408',92.766
'0:01.412',92.889
'0:01.416',93.011
'0:01.420',92.766
'0:01.424',92.766
'0:01.428',93.072
'0:01.432',92.889
'0:01.436',92.705
'0:01.440',92.889
'0:01.444',93.011
'0:01.448',92.889
'0:01.452',92.705
'0:01.456',92.950
'0:01.460',92.889
'0:01.464',92.705
'0:01.468',92.828
'0:01.472',92.950
'0:01.476',92.889
'0:01.480',92.705
'0:01.484',92.828
'0:01.488',92.950
'0:01.492',92.889
'0:01.496',92.828
'0:01.500',92.889
'0:01.504',92.889
'0:01.508',92.889
'0:01.512',92.889
'0:01.516',92.950
'0:01.520',92.766
'0:01.524',92.889
'0:01.528',92.889
'0:01.532',93.011
'0:01.536',92.889
'0:01.540',92.889
'0:01.544',93.133
'0:01.548',92.828
'0:01.552',92.889
'0:01.556',92.950
'0:01.560',92.950
'0:01.564',92.705
'0:01.568',92.889
'0:01.572',92.950
'0:01.576',92.889
'0:01.580',92.766
'0:01.584',92.889
'0:01.588',92.950
'0:01.592',92.828
'0:01.596',92.889
'0:01.600',92.950
'0:01.604',92.889
'0:01.608',92.766
'0:01.612',93.072
'0:01.616',92.950
'0:01.620',92.889
'0:01.624',92.766
'0:01.628',93.011
'0:01.632',92.889
'0:01.636',92.705
'0:01.640',92.889
'0:01.644',93.072
'0:01.648',92.889
'0:01.652',92.705
'0:01.656',92.889
'0:01.660',92.889
'0:01.664',92.766
'0:01.668',92.828
'0:01.672',92.889
'0:01.676',92.828
'0:01.680',92.828
'0:01.684',92.828
'0:01.688',92.950
'0:01.692',92.889
'0:01.696',92.889
'0:01.700',92.950
'0:01.704',92.889
'0:01.708',92.889
'0:01.712',92.889
'0:01.716',92.950
'0:01.720',92.766
'0:01.724',92.889
'0:01.728',93.011
'0:01.732',92.950
'0:01.736',92.828
'0:01.740',92.889
'0:01.744',93.011
'0:01.748',92.889
'0:01.752',92.889
'0:01.756',92.889
'0:01.760',93.011
'0:01.764',92.644
'0:01.768',92.889
'0:01.772',93.011
'0:01.776',92.889
'0:01.780',92.766
'0:01.784',92.889
'0:01.788',92.950
'0:01.792',92.828
'0:01.796',92.889
'0:01.800',92.950
'0:01.804',92.889
'0:01.808',92.766
'0:01.812',93.072
'0:01.816',92.950
'0:01.820',92.889
'0:01.824',92.828
'0:01.828',93.072
'0:01.832',92.950
'0:01.836',92.705
'0:01.840',92.828
'0:01.844',92.950
'0:01.848',92.889
'0:01.852',92.766
'0:01.856',92.950
'0:01.860',92.889
'0:01.864',92.889
'0:01.868',92.828
'0:01.872',93.011
'0:01.876',92.889
'0:01.880',92.828
'0:01.884',92.889
'0:01.888',92.950
'0:01.892',92.889
'0:01.896',92.889
'0:01.900',92.950
'0:01.904',92.889
'0:01.908',92.889
'0:01.912',93.011
'0:01.916',92.950
'0:01.920',92.828
'0:01.924',92.889
'0:01.928',93.072
'0:01.932',92.889
'0:01.936',92.766
'0:01.940',92.950
'0:01.944',92.889
'0:01.948',92.705
'0:01.952',92.889
'0:01.956',92.950
'0:01.960',92.950
'0:01.964',92.766
'0:01.968',92.889
'0:01.972',93.072
'0:01.976',92.889
'0:01.980',92.644
'0:01.984',93.011
'0:01.988',93.072
'0:01.992',92.889
'0:01.996',92.889
'0:02.000',92.950
'0:02.004',92.889
'0:02.008',92.828
'0:02.012',92.950
'0:02.016',92.889
'0:02.020',92.828
'0:02.024',92.766
'0:02.028',92.950
'0:02.032',92.889
'0:02.036',92.705
'0:02.040',92.766
'0:02.044',93.072
'0:02.048',92.889
'0:02.052',92.705
'0:02.056',92.889
'0:02.060',92.889
'0:02.064',92.889
'0:02.068',92.828
'0:02.072',93.011
'0:02.076',92.889
'0:02.080',92.889
'0:02.084',92.889
'0:02.088',92.889
'0:02.092',92.889
'0:02.096',92.889
'0:02.100',92.889
'0:02.104',92.889
'0:02.108',92.889
'0:02.112',93.011
'0:02.116',92.889
'0:02.120',92.705
'0:02.124',92.889
'0:02.128',93.011
'0:02.132',92.889
'0:02.136',92.644
'0:02.140',92.889
'0:02.144',93.072
'0:02.148',92.766
'0:02.152',92.889
'0:02.156',92.950
'0:02.160',92.889
'0:02.164',92.828
'0:02.168',93.011
'0:02.172',93.011
'0:02.176',92.889
'0:02.180',92.766
'0:02.184',92.950
'0:02.188',92.950
'0:02.192',92.889
'0:02.196',92.828
'0:02.200',92.950
'0:02.204',92.889
'0:02.208',92.828
'0:02.212',92.950
'0:02.216',92.889
'0:02.220',92.766
'0:02.224',92.766
'0:02.228',92.950
'0:02.232',92.705
'0:02.236',92.766
'0:02.240',92.828
'0:02.244',92.950
'0:02.248',92.889
'0:02.252',92.828
'0:02.256',92.889
'0:02.260',92.889
'0:02.264',92.889
'0:02.268',92.950
'0:02.272',92.950
'0:02.276',92.889
'0:02.280',92.889
'0:02.284',92.889
'0:02.288',92.889
'0:02.292',92.889
'0:02.296',92.889
'0:02.300',92.950
'0:02.304',92.828
'0:02.308',92.889
'0:02.312',92.950
'0:02.316',92.889
'0:02.320',92.644
'0:02.324',92.889
'0:02.328',93.011
'0:02.332',92.828
'0:02.336',92.644
'0:02.340',92.950
'0:02.344',92.950
'0:02.348',92.828
'0:02.352',92.889
'0:02.356',92.950
'0:02.360',92.950
'0:02.364',92.766
'0:02.368',93.011
'0:02.372',93.072
'0:02.376',92.889
'0:02.380',92.705
'0:02.384',92.950
'0:02.388',92.889
'0:02.392',92.828
'0:02.396',92.828
'0:02.400',92.889
'0:02.404',92.889
'0:02.408',92.828
'0:02.412',92.950
'0:02.416',92.889
'0:02.420',92.766
'0:02.424',92.766
'0:02.428',92.889
'0:02.432',92.766
'0:02.436',92.766
'0:02.440',92.889
'0:02.444',93.011
'0:02.448',92.889
'0:02.452',92.889
'0:02.456',93.011
'0:02.460',92.950
'0:02.464',92.889
'0:02.468',93.072
'0:02.472',93.133
'0:02.476',92.889
'0:02.480',93.011
'0:02.484',93.011
'0:02.488',93.011
'0:02.492',92.889
'0:02.496',93.072
'0:02.500',93.011
'0:02.504',92.889
'0:02.508',93.011
'0:02.512',93.133
'0:02.516',93.011
'0:02.520',92.889
'0:02.524',93.011
'0:02.528',93.256
'0:02.532',92.950
'0:02.536',92.828
'0:02.540',93.133
'0:02.544',93.133
'0:02.548',92.950
'0:02.552',92.889
'0:02.556',93.072
'0:02.560',93.011
'0:02.564',92.889
'0:02.568',93.072
'0:02.572',93.133
'0:02.576',93.072
'0:02.580',92.889
'0:02.584',93.072
'0:02.588',93.072
'0:02.592',92.950
'0:02.596',92.950
'0:02.600',93.072
'0:02.604',92.950
'0:02.608',92.889
'0:02.612',93.072
'0:02.616',92.950
'0:02.620',92.889
'0:02.624',92.889
'0:02.628',93.133
'0:02.632',92.950
'0:02.636',92.889
'0:02.640',92.950
'0:02.644',93.072
'0:02.648',92.950
'0:02.652',93.072
'0:02.656',93.133
'0:02.660',92.950
'0:02.664',92.950
'0:02.668',93.072
'0:02.672',93.133
'0:02.676',92.889
'0:02.680',92.950
'0:02.684',93.072
'0:02.688',93.011
'0:02.692',92.889
'0:02.696',93.072
'0:02.700',93.133
'0:02.704',92.889
'0:02.708',92.950
'0:02.712',93.133
'0:02.716',92.950
'0:02.720',92.828
'0:02.724',93.011
'0:02.728',93.133
'0:02.732',93.011
'0:02.736',92.889
'0:02.740',93.133
'0:02.744',93.194
'0:02.748',93.011
'0:02.752',92.889
'0:02.756',93.133
'0:02.760',93.072
'0:02.764',92.889
'0:02.768',93.011
'0:02.772',93.133
'0:02.776',93.011
'0:02.780',92.889
'0:02.784',93.133
'0:02.788',93.011
'0:02.792',92.950
'0:02.796',92.950
'0:02.800',93.072
'0:02.804',92.950
'0:02.808',92.950
'0:02.812',93.011
'0:02.816',92.950
'0:02.820',92.889
'0:02.824',92.950
'0:02.828',93.133
'0:02.832',92.950
'0:02.836',93.072
'0:02.840',93.072
'0:02.844',93.072
'0:02.848',92.889
'0:02.852',93.011
'0:02.856',93.072
'0:02.860',93.011
'0:02.864',92.950
'0:02.868',93.072
'0:02.872',93.133
'0:02.876',92.889
'0:02.880',93.072
'0:02.884',93.072
'0:02.888',93.011
'0:02.892',92.828
'0:02.896',93.072
'0:02.900',92.950
'0:02.904',92.889
'0:02.908',92.950
'0:02.912',93.133
'0:02.916',93.072
'0:02.920',92.889
'0:02.924',93.072
'0:02.928',93.133
'0:02.932',93.072
'0:02.936',92.889
'0:02.940',93.194
'0:02.944',93.072
'0:02.948',92.950
'0:02.952',93.011
'0:02.956',93.133
'0:02.960',93.072
'0:02.964',92.889
'0:02.968',92.950
'0:02.972',93.133
'0:02.976',93.011
'0:02.980',92.950
'0:02.984',93.011
'0:02.988',93.011
'0:02.992',92.950
'0:02.996',93.011
'0:03.000',92.950
'0:03.004',92.889
'0:03.008',93.011
'0:03.012',93.133
'0:03.016',92.950
'0:03.020',92.889
'0:03.024',93.011
'0:03.028',93.072
'0:03.032',92.950
'0:03.036',93.072
'0:03.040',93.072
'0:03.044',93.133
'0:03.048',92.950
'0:03.052',93.133
'0:03.056',93.133
'0:03.060',93.072
'0:03.064',92.950
'0:03.068',93.133
'0:03.072',93.072
'0:03.076',93.011
'0:03.080',93.072
'0:03.084',93.072
'0:03.088',93.011
'0:03.092',92.889
'0:03.096',93.133
'0:03.100',93.011
'0:03.104',92.889
'0:03.108',92.889
'0:03.112',93.133
'0:03.116',93.011
'0:03.120',92.889
'0:03.124',92.950
'0:03.128',93.072
'0:03.132',92.889
'0:03.136',92.828
'0:03.140',92.950
'0:03.144',92.889
'0:03.148',92.889
'0:03.152',92.705
'0:03.156',93.011
'0:03.160',92.889
'0:03.164',92.705
'0:03.168',92.828
'0:03.172',92.889
'0:03.176',92.889
'0:03.180',92.766
'0:03.184',92.889
'0:03.188',92.828
'0:03.192',92.889
'0:03.196',92.889
'0:03.200',92.828
'0:03.204',92.705
'0:03.208',92.950
'0:03.212',92.889
'0:03.216',92.889
'0:03.220',92.766
'0:03.224',92.889
'0:03.228',93.011
'0:03.232',92.889
'0:03.236',92.950
'0:03.240',92.889
'0:03.244',92.950
'0:03.248',92.828
'0:03.252',92.950
'0:03.256',93.011
'0:03.260',92.889
'0:03.264',92.766
'0:03.268',92.889
'0:03.272',92.889
'0:03.276',92.766
'0:03.280',92.889
'0:03.284',92.889
'0:03.288',92.828
'0:03.292',92.828
'0:03.296',93.072
'0:03.300',92.950
'0:03.304',92.828
'0:03.308',92.766
'0:03.312',93.072
'0:03.316',92.889
'0:03.320',92.705
'0:03.324',92.828
'0:03.328',93.072
'0:03.332',92.889
'0:03.336',92.828
'0:03.340',92.950
'0:03.344',92.889
'0:03.348',92.766
'0:03.352',92.828
'0:03.356',92.950
'0:03.360',92.828
'0:03.364',92.828
'0:03.368',92.828
'0:03.372',92.889
'0:03.376',92.828
'0:03.380',92.828
'0:03.384',92.889
'0:03.388',92.828
'0:03.392',92.889
'0:03.396',92.889
'0:03.400',92.889
'0:03.404',92.644
'0:03.408',92.889
'0:03.412',93.011
'0:03.416',92.889
'0:03.420',92.705
'0:03.424',92.950
'0:03.428',92.950
'0:03.432',92.828
'0:03.436',92.889
'0:03.440',93.072
'0:03.444',92.889
'0:03.448',92.766
'0:03.452',93.011
'0:03.456',92.889
'0:03.460',92.950
'0:03.464',92.705
'0:03.468',92.950
'0:03.472',92.889
'0:03.476',92.828
'0:03.480',92.889
'0:03.484',92.950
'0:03.488',92.828
'0:03.492',92.828
'0:03.496',92.950
'0:03.500',93.011
'0:03.504',92.828
'0:03.508',92.705
'0:03.512',93.072
'0:03.516',93.011
'0:03.520',92.705
'0:03.524',92.828
'0:03.528',92.950
'0:03.532',92.889
'0:03.536',92.828
'0:03.540',93.011
'0:03.544',92.889
'0:03.548',92.889
'0:03.552',92.766
'0:03.556',92.950
'0:03.560',92.828
'0:03.564',92.828
'0:03.568',92.828
'0:03.572',92.889
'0:03.576',92.889
'0:03.580',92.889
'0:03.584',92.828
'0:03.588',92.828
'0:03.592',92.889
'0:03.596',93.072
'0:03.600',92.889
'0:03.604',92.766
'0:03.608',92.889
'0:03.612',93.072
'0:03.616',92.950
'0:03.620',92.889
'0:03.624',92.889
'0:03.628',92.950
'0:03.632',92.889
'0:03.636',92.889
'0:03.640',93.011
'0:03.644',92.889
'0:03.648',92.828
'0:03.652',92.950
'0:03.656',93.072
'0:03.660',92.889
'0:03.664',92.766
'0:03.668',92.889
'0:03.672',92.889
'0:03.676',92.889
'0:03.680',92.889
'0:03.684',93.011
'0:03.688',92.889
'0:03.692',92.889
'0:03.696',93.011
'0:03.700',92.950
'0:03.704',92.828
'0:03.708',92.889
'0:03.712',93.133
'0:03.716',92.889
'0:03.720',92.889
'0:03.724',92.889
'0:03.728',92.950
'0:03.732',92.889
'0:03.736',92.889
'0:03.740',92.889
'0:03.744',92.889
'0:03.748',92.889
'0:03.752',92.889
'0:03.756',92.950
'0:03.760',92.828
'0:03.764',92.889
'0:03.768',92.828
'0:03.772',92.889
'0:03.776',92.828
'0:03.780',92.950
'0:03.784',92.889
'0:03.788',92.828
'0:03.792',92.889
'0:03.796',93.072
'0:03.800',93.072
'0:03.804',92.705
'0:03.808',93.011
'0:03.812',93.133
'0:03.816',93.011
'0:03.820',92.705
'0:03.824',93.011
'0:03.828',93.072
'0:03.832',92.766
'0:03.836',92.889
'0:03.840',93.072
'0:03.844',92.889
'0:03.848',92.705
'0:03.852',92.889
'0:03.856',93.011
'0:03.860',92.889
'0:03.864',92.766
'0:03.868',92.889
'0:03.872',92.889
'0:03.876',92.889
'0:03.880',92.828
'0:03.884',93.011
'0:03.888',92.889
'0:03.892',92.828
'0:03.896',93.011
'0:03.900',92.950
'0:03.904',92.889
'0:03.908',92.889
'0:03.912',93.133
'0:03.916',92.889
'0:03.920',92.828
'0:03.924',92.828
'0:03.928',93.011
'0:03.932',92.828
'0:03.936',92.889
'0:03.940',92.889
'0:03.944',92.889
'0:03.948',92.889
'0:03.952',92.889
'0:03.956',93.011
'0:03.960',92.889
'0:03.964',92.889
'0:03.968',92.889
'0:03.972',92.889
'0:03.976',92.766
'0:03.980',93.011
'0:03.984',92.889
'0:03.988',92.828
'0:03.992',92.889
'0:03.996',93.072
'0:04.000',92.889
'0:04.004',92.705
'0:04.008',93.011
'0:04.012',93.072
'0:04.016',92.889
'0:04.020',92.705
'0:04.024',92.889
'0:04.028',92.950
'0:04.032',92.828
'0:04.036',92.828
'0:04.040',93.072
'0:04.044',92.889
'0:04.048',92.766
'0:04.052',92.889
'0:04.056',92.950
'0:04.060',92.889
'0:04.064',92.766
'0:04.068',92.950
'0:04.072',92.889
'0:04.076',92.950
'0:04.080',92.889
'0:04.084',92.950
'0:04.088',92.828
'0:04.092',92.828
'0:04.096',93.011
'0:04.100',93.011
'0:04.104',92.705
'0:04.108',92.889
'0:04.112',92.950
'0:04.116',92.889
'0:04.120',92.766
'0:04.124',92.889
'0:04.128',92.889
'0:04.132',92.889
'0:04.136',92.889
'0:04.140',92.950
'0:04.144',92.828
'0:04.148',92.766
'0:04.152',92.889
'0:04.156',92.889
'0:04.160',92.889
'0:04.164',92.950
'0:04.168',92.950
'0:04.172',92.889
'0:04.176',92.766
'0:04.180',92.950
'0:04.184',92.889
'0:04.188',92.766
'0:04.192',92.889
'0:04.196',93.133
'0:04.200',92.889
'0:04.204',92.766
'0:04.208',92.889
'0:04.212',93.011
'0:04.216',92.889
'0:04.220',92.705
'0:04.224',92.950
'0:04.228',92.889
'0:04.232',92.889
'0:04.236',92.705
'0:04.240',93.011
'0:04.244',92.828
'0:04.248',92.828
'0:04.252',92.828
'0:04.256',92.950
'0:04.260',92.889
'0:04.264',92.828
'0:04.268',93.072
'0:04.272',92.889
'0:04.276',92.889
'0:04.280',92.889
'0:04.284',92.950
'0:04.288',92.766
'0:04.292',92.828
'0:04.296',92.889
'0:04.300',92.889
'0:04.304',92.766
'0:04.308',92.889
'0:04.312',92.950
'0:04.316',92.889
'0:04.320',92.828
'0:04.324',92.889
'0:04.328',92.889
'0:04.332',92.828
'0:04.336',92.889
'0:04.340',92.889
'0:04.344',92.828
'0:04.348',92.889
'0:04.352',92.889
'0:04.356',92.889
'0:04.360',92.889
'0:04.364',92.889
'0:04.368',92.950
'0:04.372',92.889
'0:04.376',92.828
'0:04.380',93.133
'0:04.384',92.889
'0:04.388',92.766
'0:04.392',92.828
'0:04.396',93.011
'0:04.400',92.828
'0:04.404',92.705
'0:04.408',92.889
'0:04.412',93.072
'0:04.416',92.889
'0:04.420',92.705
'0:04.424',93.011
'0:04.428',92.889
'0:04.432',92.889
'0:04.436',92.705
'0:04.440',93.072
'0:04.444',92.950
'0:04.448',92.828
'0:04.452',92.889
'0:04.456',92.950
'0:04.460',92.889
'0:04.464',92.828
'0:04.468',93.011
'0:04.472',92.828
'0:04.476',92.889
'0:04.480',92.889
'0:04.484',92.889
'0:04.488',92.766
'0:04.492',92.889
'0:04.496',92.950
'0:04.500',92.889
'0:04.504',92.766
'0:04.508',92.828
'0:04.512',92.889
'0:04.516',92.828
'0:04.520',92.889
'0:04.524',92.889
'0:04.528',92.889
'0:04.532',92.705
'0:04.536',92.828
'0:04.540',92.889
'0:04.544',92.828
'0:04.548',92.828
'0:04.552',93.011
'0:04.556',92.889
'0:04.560',92.828
'0:04.564',92.889
'0:04.568',93.011
'0:04.572',92.828
'0:04.576',92.766
'0:04.580',93.072
'0:04.584',92.889
'0:04.588',92.766
'0:04.592',92.766
'0:04.596',93.072
'0:04.600',92.889
'0:04.604',92.766
'0:04.608',92.889
'0:04.612',93.011
'0:04.616',92.828
'0:04.620',92.705
'0:04.624',93.072
'0:04.628',92.889
'0:04.632',92.889
'0:04.636',92.705
'0:04.640',93.011
'0:04.644',92.889
'0:04.648',92.766
'0:04.652',92.889
'0:04.656',93.011
'0:04.660',92.828
'0:04.664',92.828
'0:04.668',92.950
'0:04.672',92.828
'0:04.676',92.828
'0:04.680',92.889
'0:04.684',92.889
'0:04.688',92.644
'0:04.692',92.889
'0:04.696',92.950
'0:04.700',92.950
'0:04.704',92.766
'0:04.708',92.889
'0:04.712',92.889
'0:04.716',92.828
'0:04.720',92.766
'0:04.724',93.011
'0:04.728',92.889
'0:04.732',92.828
'0:04.736',92.950
'0:04.740',93.011
'0:04.744',92.889
'0:04.748',92.705
'0:04.752',93.011
'0:04.756',92.950
'0:04.760',92.828
'0:04.764',92.889
'0:04.768',93.011
'0:04.772',92.889
'0:04.776',92.766
'0:04.780',93.072
'0:04.784',92.950
'0:04.788',92.766
'0:04.792',92.705
'0:04.796',93.011
'0:04.800',92.889
'0:04.804',92.705
'0:04.808',92.889
'0:04.812',92.950
'0:04.816',92.828
'0:04.820',92.766
'0:04.824',93.072
'0:04.828',92.950
'0:04.832',92.889
'0:04.836',92.828
'0:04.840',93.072
'0:04.844',92.889
'0:04.848',92.889
'0:04.852',92.889
'0:04.856',92.950
'0:04.860',92.889
'0:04.864',92.889
'0:04.868',92.889
'0:04.872',92.766
'0:04.876',92.889
'0:04.880',92.889
'0:04.884',92.889
'0:04.888',92.766
'0:04.892',92.828
'0:04.896',92.889
'0:04.900',92.889
'0:04.904',92.705
'0:04.908',93.072
'0:04.912',92.950
'0:04.916',92.889
'0:04.920',92.828
'0:04.924',92.950
'0:04.928',92.889
'0:04.932',92.889
'0:04.936',92.950
'0:04.940',93.011
'0:04.944',92.889
'0:04.948',92.705
'0:04.952',93.011
'0:04.956',92.889
'0:04.960',92.766
'0:04.964',92.828
'0:04.968',93.011
'0:04.972',92.828
'0:04.976',92.705
'0:04.980',93.072
'0:04.984',92.950
'0:04.988',92.828
'0:04.992',92.828
'0:04.996',93.133
'0:05.000',92.889
'0:05.004',92.705
'0:05.008',92.889
'0:05.012',92.950
'0:05.016',92.828
'0:05.020',92.766
'0:05.024',92.950
'0:05.028',92.950
'0:05.032',92.889
'0:05.036',92.889
'0:05.040',92.950
'0:05.044',92.828
'0:05.048',92.766
'0:05.052',92.828
'0:05.056',92.889
'0:05.060',92.828
'0:05.064',92.889
'0:05.068',92.889
